	SRS1267685.SRR3131402	SRS1267687.SRR3131440	SRS1267690.SRR3131445	SRS1267691.SRR3131437	SRS1267693.SRR3131393	SRS1267698.SRR3131452	SRS1267699.SRR3131480	SRS1267700.SRR3131450	SRS1267701.SRR3131481	SRS1267702.SRR3131401	SRS1267704.SRR3131428	SRS1267705.SRR3131424	SRS1267706.SRR3131482	SRS1267708.SRR3131507	SRS1267709.SRR3131506	SRS1267710.SRR3131505	SRS1267711.SRR3131504	SRS1267712.SRR3131503	SRS1267713.SRR3131502	SRS1267714.SRR3131501	SRS1267715.SRR3131500	SRS1267717.SRR3131498	SRS1267718.SRR3131497	SRS1267719.SRR3131496	SRS1267721.SRR3131493	SRS1267722.SRR3131492	SRS1267723.SRR3131491	SRS1267725.SRR3131489	SRS1267726.SRR3131488	SRS1267727.SRR3131486	SRS1267728.SRR3131485	SRS1267729.SRR3131484	SRS1267730.SRR3131483	SRS1267731.SRR3131479	SRS1267732.SRR3131477	SRS1267733.SRR3131476	SRS1267734.SRR3131475	SRS1267735.SRR3131474	SRS1267736.SRR3131473	SRS1267737.SRR3131487	SRS1267739.SRR3131470	SRS1267740.SRR3131471	SRS1267741.SRR3131469	SRS1267742.SRR3131468	SRS1267743.SRR3131467	SRS1267744.SRR3131465	SRS1267745.SRR3131466	SRS1267746.SRR3131464	SRS1267748.SRR3131462	SRS1267750.SRR3131460	SRS1267752.SRR3131458	SRS1267753.SRR3131457	SRS1267754.SRR3131456	SRS1267755.SRR3131455	SRS1267756.SRR3131454	SRS1267757.SRR3131453	SRS1267758.SRR3131451	SRS1267761.SRR3131447	SRS1267762.SRR3131446	SRS1267763.SRR3131444	SRS1267764.SRR3131443	SRS1267765.SRR3131442	SRS1267766.SRR3131441	SRS1267768.SRR3131439	SRS1267769.SRR3131436	SRS1267770.SRR3131435	SRS1267771.SRR3131434	SRS1267772.SRR3131433	SRS1267773.SRR3131432	SRS1267774.SRR3131431	SRS1267781.SRR3131388	SRS1267785.SRR3131409	SRS1267791.SRR3131405	SRS1267794.SRR3131425	SRS1267820.SRR3131396	SRS1267826.SRR3131414	SRS1267829.SRR3131390	SRS1267833.SRR3131412	SRS1267838.SRR3131418	SRS1267845.SRR3131398	SRS1267850.SRR3131426	SRS1267869.SRR3131407	SRS1267878.SRR3131416	SRS1267895.SRR3131404	SRS1267904.SRR3131421	SRS1267924.SRR3131389	SRS1267929.SRR3131385	SRS1267942.SRR3131397	SRS1267948.SRR3131392	SRS1267960.SRR3131410	SRS1267961.SRR3131427	SRS1267963.SRR3131400	SRS1267971.SRR3131387	SRS1267981.SRR3131420	SRS1267983.SRR3131408	SRS1267989.SRR3131423	SRS1267997.SRR3131413	SRS1268017.SRR3131386	SRS1268029.SRR3131399	SRS1268048.SRR3131406	SRS1268071.SRR3131415	SRS1268078.SRR3131422	SRS1268103.SRR3131394
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001																																																							4																																																
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes																																																																																																							
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii																																															6																																																								
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group																																																																																																							
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides;Macellibacteroides fermentans																																																																																																							
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides														33																																									11																																																
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis																																																																																																							
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae														265																														3																																																											
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae;Siphonobacter																	4																																																																																						
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Fibrella																	3																																																																																						
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter hepaticus																																																							4																																																
Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus																																																																																																							
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio																																																																																																						4	
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio desulfuricans																																																																																												11											
Bacteria;Firmicutes																																																																																										8											6		
Bacteria;Firmicutes;Bacilli														4																																																																																									
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae																																																																																									2														
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium																																																																																																							
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium;Erysipelatoclostridium ramosum																																																																																																							
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Kandleria																	4																																																																																						
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum																																																																																																							
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter																																																																																																							
Bacteria;Firmicutes;Bacilli;Lactobacillales										246															269																														2																								170											104		157										210	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;Dolosigranulum pigrum																																																																																																							
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae						7																																																																																																	
